10000	212	267	2	7	3	
11000	255	330	2	8	4	
12000	300	380	2	9	4	
13000	360	454	3	9	5	
14000	407	550	3	10	5	
15000	465	615	3	11	6	
16000	519	685	4	13	7	
17000	599	781	4	12	7	
18000	692	886	4	13	7	
19000	735	963	4	14	8	
20000	808	1080	5	15	8	
21000	905	1183	4	15	8	
22000	978	1306	4	16	10	
23000	1066	1425	5	17	10	
24000	1203	1543	5	22	13	
25000	1260	1681	5	18	10	
26000	1360	1809	6	19	11	
27000	1469	1947	7	20	13	
28000	1588	2095	6	20	11	
29000	1709	2249	6	22	14	
30000	1829	2393	7	22	17	
31000	1937	2580	7	22	13	
32000	2075	2754	7	23	14	
33000	2208	2933	7	25	15	
34000	2339	3098	8	25	15	
35000	2488	3282	8	26	15	
36000	2639	3532	9	27	16	
37000	3564	3741	8	27	16	
38000	2977	3892	8	28	18	
39000	3072	4091	8	29	16	
40000	3706	4545	9	30	18	
41000	3421	4717	9	31	18	
42000	3596	4740	10	31	18	
43000	3737	4952	10	32	20	
44000	3906	5177	12	38	23	
45000	4085	5435	10	33	20	
46000	4259	5633	12	36	20	
47000	4463	5911	11	35	21	
48000	4652	6177	10	36	21	
49000	4872	6423	11	39	22	
50000	5128	6687	12	37	23	
51000	5370	6942	11	39	23	
52000	6199	7229	12	39	24	
53000	5677	7548	12	40	24	
54000	5936	7827	12	40	24	
55000	6110	8094	13	41	25	
56000	6357	8775	15	44	26	
57000	6803	8704	13	43	26	
58000	6815	9014	13	43	31	
59000	7038	9349	14	44	27	
60000	7279	9596	14	45	28	
61000	7628	10161	14	47	28	
62000	7742	10329	14	52	35	
63000	8002	10622	14	48	29	
64000	8415	10984	15	49	34	
65000	8515	11338	16	49	30	
66000	8759	11880	16	50	30	
67000	9206	12264	15	50	31	
68000	9287	12375	16	52	30	
69000	9546	12755	15	53	31	
70000	9854	13083	16	54	34	
71000	10161	13986	16	55	34	
72000	10976	13908	17	55	33	
73000	10755	14298	16	56	34	
74000	11067	14613	18	57	35	
75000	11341	15601	17	58	36	
76000	11719	15441	18	58	35	
77000	11935	15851	19	59	36	
78000	12345	29890	19	86	42	
79000	12671	16758	18	60	37	
80000	13270	17296	18	62	37	
81000	13292	17648	19	62	39	
82000	13657	18085	20	63	39	
83000	14140	18526	19	63	40	
84000	14346	19044	21	64	39	
85000	15815	19802	20	65	41	
86000	15378	19929	20	66	41	
87000	15356	20430	20	96	43	
88000	16193	20951	21	67	42	
89000	16081	21808	21	68	43	
90000	16459	21935	27	75	42	
91000	16774	22261	22	72	48	
92000	17477	22760	23	72	44	
93000	18736	23312	23	73	44	
94000	17855	24062	23	84	47	
95000	18828	24351	22	74	46	
96000	18655	25039	28	89	53	
97000	19195	25428	23	75	47	
98000	19463	26399	23	76	49	
99000	19844	26333	23	76	49	
100000	20859	27211	24	85	54	
